username;name;profile_url;location;reputation;valid_vulnerability_count;past_year_signal;past_year_impact;streak_length;cleared;verified;best_observed_rank;leaderboard_appearances;leaderboard_periods_count;leaderboard_categories_count;owasp_categories_count;asset_type_categories_count;high_critical_entries_count;top_3_entries_count;top_10_entries_count;top_30_entries_count;average_rank;in_highest_reputation;in_high_critical;in_most_upvoted;in_up_and_comers;in_owasp_a1;in_owasp_a2;in_owasp_a3;in_owasp_a4;in_owasp_a5;in_owasp_a6;in_owasp_a7;in_owasp_a8;in_asset_web_app;in_asset_mobile_android;in_asset_mobile_ios;in_asset_infrastructure;in_asset_source_code;in_asset_ai_model;hacktivity_total_count_last_year;hacktivity_sample_count;hacktivity_program_count;hacktivity_visible_awards_count;hacktivity_visible_awards_sum;standoff_priority_score;website;github;twitter;linkedin;bugcrowd;hack_the_box;gitlab
m0chan;Aidan;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")";Scotland;125433;5304;6,6222222222;14,7188449848;40;True;True;1;15;2;9;5;1;2;8;12;15;5,53;yes;yes;yes;;;yes;yes;yes;yes;yes;;;yes;;;;;;164;50;29;0;0;163,62;;"=ГИПЕРССЫЛКА(""https://github.com/m0chan"";""m0chan"")";"=ГИПЕРССЫЛКА(""https://x.com/m0chan98"";""m0chan98"")";;"=ГИПЕРССЫЛКА(""https://bugcrowd.com/m0chan"";""m0chan"")";m0chan;
d0xing;d0xing;"=ГИПЕРССЫЛКА(""https://hackerone.com/d0xing?type=user"";""d0xing"")";;165484;5896;6,9593679458;16,1308840413;40;False;True;1;10;2;7;3;2;2;4;9;10;5,7;yes;yes;;;yes;yes;;;yes;;;;yes;;yes;;;;250;50;23;0;0;155,12;;;"=ГИПЕРССЫЛКА(""https://x.com/d00xing"";""d00xing"")";;"=ГИПЕРССЫЛКА(""https://bugcrowd.com/d0xing"";""d0xing"")";;
godiego;diego;"=ГИПЕРССЫЛКА(""https://hackerone.com/godiego?type=user"";""godiego"")";;86888;2477;6,7441860465;20,0546780073;40;True;True;1;10;2;6;2;1;2;4;7;10;8,5;yes;yes;yes;;;yes;;;;;yes;;yes;;;;;;157;50;34;0;0;150,35;"=ГИПЕРССЫЛКА(""https://godiego.co"";""https://godiego.co"")";"=ГИПЕРССЫЛКА(""https://github.com/diego95root"";""diego95root"")";"=ГИПЕРССЫЛКА(""https://x.com/_godiego__"";""_godiego__"")";"=ГИПЕРССЫЛКА(""https://www.linkedin.com/in/diego-bernal-adelantado"";""diego-bernal-adelantado"")";"=ГИПЕРССЫЛКА(""https://bugcrowd.com/godiego"";""godiego"")";;
jayesh25;jayesh25;"=ГИПЕРССЫЛКА(""https://hackerone.com/jayesh25?type=user"";""jayesh25"")";Dubai;48959;1200;7;24,0107913669;40;True;True;5;9;2;5;2;1;2;0;4;9;14,78;yes;yes;;;;yes;;;yes;;;;yes;;;;;;12;12;7;0;0;134,62;"=ГИПЕРССЫЛКА(""https://ethicalinfosec.com/"";""https://ethicalinfosec.com/"")";;;;;;
arielrachamim;Ariel Rachamim;"=ГИПЕРССЫЛКА(""https://hackerone.com/arielrachamim?type=user"";""arielrachamim"")";;34226;2758;6,6427015251;9,0398550725;37;True;True;1;6;2;4;0;2;2;2;5;6;6,83;yes;yes;;;;;;;;;;;;;yes;yes;;;733;50;19;0;0;134,08;;;;;"=ГИПЕРССЫЛКА(""https://bugcrowd.com/ArielRachamim"";""ArielRachamim"")";;
n0xi0us;Angel Montes;"=ГИПЕРССЫЛКА(""https://hackerone.com/n0xi0us?type=user"";""n0xi0us"")";;21700;461;6,8651685393;18,9804469274;40;True;True;2;9;2;6;3;1;2;1;5;9;12,11;yes;yes;;;;;;yes;yes;;yes;;yes;;;;;;29;29;20;0;0;133,71;;;"=ГИПЕРССЫЛКА(""https://x.com/_N0xi0us_"";""_N0xi0us_"")";"=ГИПЕРССЫЛКА(""https://www.linkedin.com/in/amontesg"";""amontesg"")";;;
thaivu;Thái Vũ;"=ГИПЕРССЫЛКА(""https://hackerone.com/thaivu?type=user"";""thaivu"")";;34157;1424;6,8301282051;18,3701657459;40;True;True;14;6;2;6;2;2;1;0;0;6;20,5;yes;yes;;;;yes;;;;;yes;;yes;;yes;;;;98;50;25;0;0;132,79;;;"=ГИПЕРССЫЛКА(""https://x.com/thaivd98"";""thaivd98"")";;"=ГИПЕРССЫЛКА(""https://bugcrowd.com/thaivd98"";""thaivd98"")";;
lamscun;Lamscun;"=ГИПЕРССЫЛКА(""https://hackerone.com/lamscun?type=user"";""lamscun"")";;28286;646;5,5660377358;17,1428571429;40;True;True;9;9;2;7;3;2;1;0;1;9;18,56;yes;yes;;;yes;yes;;;;;yes;;yes;;yes;;;;28;28;17;0;0;130,01;"=ГИПЕРССЫЛКА(""https://www.flyseccorp.com"";""https://www.flyseccorp.com"")";;"=ГИПЕРССЫЛКА(""https://x.com/LamScun"";""LamScun"")";;;;
hacktus;🌵;"=ГИПЕРССЫЛКА(""https://hackerone.com/hacktus?type=user"";""hacktus"")";;17698;415;6,9414634146;21,8666666667;40;True;True;3;14;2;9;4;2;2;2;7;14;11,43;yes;yes;yes;;yes;yes;;;yes;yes;;;yes;;;;;yes;0;0;0;0;0;128,4;"=ГИПЕРССЫЛКА(""https://hackt.us"";""https://hackt.us"")";"=ГИПЕРССЫЛКА(""https://github.com/hacktus"";""hacktus"")";"=ГИПЕРССЫЛКА(""https://x.com/H4cktus"";""H4cktus"")";"=ГИПЕРССЫЛКА(""https://www.linkedin.com/in/hacktus"";""hacktus"")";"=ГИПЕРССЫЛКА(""https://bugcrowd.com/hacktus"";""hacktus"")";;
yash_005;Yash Sharma;"=ГИПЕРССЫЛКА(""https://hackerone.com/yash_005?type=user"";""yash_005"")";;27337;633;7;20,1477832512;39;True;True;2;9;2;6;2;2;1;1;4;9;10;yes;yes;;;yes;;;;yes;;;;yes;;yes;;;;14;14;4;0;0;127,84;;;"=ГИПЕРССЫЛКА(""https://x.com/05__Yash"";""05__Yash"")";"=ГИПЕРССЫЛКА(""https://www.linkedin.com/in/yash-sharma-35359117b"";""yash-sharma-35359117b"")";;;
