username;year;quarter;period;leaderboard;leaderboard_title;leaderboard_key;filter;filter_label;rank;previous_rank;reputation;signal;impact;votes;profile_url
m0chan;2026;1;2026Q1;asset_web_app;Asset Type: Web Application;ASSET_TYPES;WEB_APP;WEB_APP;18;9;1499;6,7272727273;15,8571428571;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;1;2026Q1;high_critical;Highest Critical Reputation;HIGH_CRIT_REPUTATION;;;2;2;873;6,7303370787;16,9444444444;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;1;2026Q1;highest_reputation;Highest Reputation;HIGHEST_REPUTATION;;;1;1;9084;6,7882352941;14,7368421053;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;1;2026Q1;most_upvoted;Most Upvoted Hacktivity;HACKTIVITY_UPVOTES;;;14;41;;;;131;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;1;2026Q1;owasp_a2;OWASP Broken Authentication;OWASP_TOP_10;a2;OWASP A2 Broken Authentication;8;;42;7;;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;1;2026Q1;owasp_a4;OWASP XXE;OWASP_TOP_10;a4;OWASP A4 XXE;1;;21;7;15;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;1;2026Q1;owasp_a5;OWASP Broken Access Control;OWASP_TOP_10;a5;OWASP A5 Broken Access Control;2;12;702;6,8823529412;16,40625;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;2;2026Q2;asset_web_app;Asset Type: Web Application;ASSET_TYPES;WEB_APP;WEB_APP;14;18;508;6,3684210526;20,75;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;2;2026Q2;high_critical;Highest Critical Reputation;HIGH_CRIT_REPUTATION;;;2;2;365;6,7931034483;26,5789473684;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
m0chan;2026;2;2026Q2;highest_reputation;Highest Reputation;HIGHEST_REPUTATION;;;2;1;1687;6,7446808511;19,7872340426;;"=ГИПЕРССЫЛКА(""https://hackerone.com/m0chan?type=user"";""m0chan"")"
